,individual1,individual2,start,endpoint,length
0,35,43,30.501047038893446,30.59763952980515,0.09659249091170352
1,35,43,43.25531363648476,43.66992038100645,0.41460674452169144
2,1,10,6.765292934694543,6.8146248919416195,0.04933195724707673
3,31,22,32.919503026462635,33.0282240175743,0.10872099111166733
4,31,22,48.577709582338365,49.05488663501356,0.47717705267519506
5,36,29,19.050351658950333,19.14280475487205,0.0924530959217158
6,35,45,12.595327413041765,12.688412289838041,0.09308487679627575
7,35,45,12.887356523944387,12.957552335434244,0.07019581148985665
8,43,45,29.300854563438477,29.442013321869467,0.1411587584309899
9,43,45,29.56963327748116,29.740010868861937,0.17037759138077746
10,17,18,34.38674582313098,34.454609185609456,0.06786336247847657
11,17,18,34.5817489809984,34.667810936399164,0.08606195540076556
12,1,10,38.798152861309376,38.89028397084846,0.09213110953908199
13,1,10,38.926766789325356,39.371870228136046,0.4451034388106905
14,13,36,38.295272719447176,38.48193099797618,0.18665827852900208
15,29,43,16.378849572982887,16.463281176846337,0.08443160386345028
16,16,19,11.857468493614597,11.989109774160397,0.13164128054580004
17,9,49,6.2156391592462885,6.4627713819604296,0.24713222271414104
18,9,49,21.624242828673072,21.666791699719155,0.04254887104608329
19,9,49,44.96083550796826,45.109224274894856,0.14838876692659397
20,8,9,40.372195650061144,40.44635815456642,0.07416250450527428
21,8,9,40.579275692965496,40.7408535820362,0.16157788907070625
22,27,33,2.2208071345678917,2.5039476471725806,0.28314051260468887
23,27,33,39.085709163162875,39.158580112095734,0.07287094893285939
24,40,34,30.02717972422062,30.255571635168423,0.22839191094780276
25,18,35,35.135323309556895,35.204900524439594,0.06957721488269897
26,11,47,43.01526331815422,43.35992224693667,0.34465892878245086
27,8,43,28.0316712307266,28.119788157850877,0.08811692712427543
28,33,36,26.03247002513229,26.094481515927626,0.06201149079533508
29,8,29,0.23090131974406347,0.39212079383652565,0.16121947409246218
30,8,29,7.349656190488996,7.465913121537426,0.11625693104843027
31,43,29,25.97581597314262,26.14637198488809,0.17055601174547164
32,27,36,3.7734788679709808,3.882230860943217,0.10875199297223626
33,21,36,42.777293232842325,42.87263806577637,0.09534483293404605
34,14,26,12.706676013760731,12.909430341107054,0.20275432734632304
35,14,26,21.380766725761262,21.86798486708993,0.48721814132866825
36,47,5,23.05258568092914,23.153911642929756,0.10132596200061528
37,9,10,43.130311279859704,43.22300194499164,0.0926906651319328
38,3,42,29.08186067930843,29.235013723117603,0.15315304380917283
39,9,7,37.782861943954124,38.01271891065262,0.22985696669849887
40,9,5,18.984900747920875,19.11030220576825,0.12540145784737433
41,31,6,27.632065451859866,27.708202916731956,0.07613746487209028
42,43,33,33.24121237806984,33.28975322327719,0.04854084520734858
43,33,15,27.02526481415771,27.086123497879242,0.060858683721534135
44,17,45,2.02498884486009,2.085614540935545,0.06062569607545498
45,44,18,1.2312184749751764,1.3420757908041736,0.11085731582899716
46,25,5,47.83663258726726,47.87743410673103,0.040801519463769864
47,25,5,48.012102104656286,48.115569875648276,0.10346777099199045
48,21,29,34.50077686653812,34.54817196885793,0.047395102319811144
49,0,39,11.7210370225809,12.103640731768238,0.38260370918733777
50,29,15,23.532660867760143,23.786849018839703,0.2541881510795605
51,24,15,0.09837010141164337,0.17411185212171176,0.07574175071006839
52,24,15,7.898925833656767,7.970092792020701,0.07116695836393383
53,37,33,34.09576888079374,34.162526183770865,0.06675730297712335
54,26,14,10.822885245338826,10.907963202500504,0.08507795716167799
55,40,25,4.256848934320878,4.307215883926219,0.050366949605340494
56,14,18,24.560258832950055,24.628293182587107,0.06803434963705257
57,45,5,38.691144263588164,38.854329599483236,0.16318533589507211
58,22,43,14.613057158939199,14.679405264829796,0.06634810589059725
59,2,29,21.07657356247367,21.122268532909246,0.045694970435576465
60,35,2,32.93928589389573,33.391126201374625,0.45184030747889636
61,14,10,25.95733881325407,26.049948487817986,0.09260967456391711
62,15,10,7.564218750437739,7.612529211346924,0.04831046090918534
63,36,24,19.61353899752511,19.70636739079634,0.09282839327122971
64,16,29,44.78709135432618,44.971808548167566,0.18471719384138652
65,5,15,18.938118561229388,19.129899818172078,0.19178125694269
66,9,15,18.984900747920875,19.11030220576825,0.12540145784737433
67,46,24,47.89446407061641,47.93578900891032,0.04132493829391137
68,45,36,3.6672524796773516,3.73223097594402,0.06497849626666863
69,46,2,35.09084036039843,35.224070353191514,0.13322999279308334
70,18,26,48.62229745930526,48.66491476623102,0.04261730692576293
71,15,27,24.567680572632696,24.70662930890039,0.1389487362676931
72,18,43,26.745230161474808,26.792372150783322,0.0471419893085141
73,27,21,22.885888630947232,22.979634714912052,0.09374608396482031
74,44,6,15.307158941037258,15.359622369869825,0.05246342883256716
75,43,33,11.74043995662557,11.793672992259836,0.053233035634265846
76,7,47,17.334594554012256,17.383894701650455,0.04930014763819912
77,9,47,30.192080359247015,30.262998267016258,0.07091790776924256
78,3,2,18.58269041947449,18.68186183059469,0.09917141112020289
79,27,14,2.9421305755785028,3.0623930682205724,0.12026249264206967
80,8,18,29.986094887836032,30.091830087350303,0.10573519951427102
81,29,18,44.39473108218868,44.69614261018407,0.3014115279953913
82,28,32,12.465833959458095,12.517277411683267,0.05144345222517188
83,13,21,19.208302281992758,19.26119371600322,0.052891434010462035
84,42,19,17.473289672694715,17.600404298280466,0.12711462558575093
85,27,36,36.192069340409034,36.23491355694796,0.04284421653892423
86,44,34,37.446982870259234,37.50953226501814,0.06254939475890353
87,30,44,21.543729492607724,21.68110119944391,0.13737170683618416
88,41,48,28.898188856715947,29.021252939283073,0.12306408256712587
